0.002, 6.76522e-08
0.002, 6.74963e-08
0.004, 4.61048e-08
0.004, 0.000330135
0.006, 3.33955e-08
0.006, 3.33185e-08
0.008, 2.62643e-08
0.008, 2.6325e-08
0.01, 1.64126e-09
0.01, 0.000226671
0.02, 0.00010719
0.02, 0.00010716
0.03, 7.1282e-05
0.03, 7.12594e-05
0.04, 6.42055e-05
0.04, 6.42241e-05
0.05, 4.41579e-05
0.05, 4.41469e-05
0.06, 1.4767e-08
0.06, 3.8239e-05
0.07, 1.45612e-08
0.07, 4.08291e-05
0.08, 1.49658e-08
0.08, 2.69327e-05
0.09, 2.65305e-05
0.09, 2.65368e-05
0.1, 1.78349e-08
0.1, 2.13078e-05
0.2, 1.79414e-08
0.2, 1.16457e-05
0.3, 1.42475e-08
0.3, 5.00774e-06
0.4, 1.68262e-08
0.4, 3.36394e-06
0.5, 3.33227e-08
0.5, 2.15585e-06
0.6, 1.41657e-08
0.6, 1.80106e-06
0.7, 3.97422e-08
0.7, 6.56227e-07
0.8, 3.80147e-07
0.8, 5.4275e-08
0.83, 4.31265e-07
0.83, 6.90803e-08
0.85, 8.4009e-08
0.85, 4.66271e-07
0.87, 1.0649e-07
0.87, 3.8822e-07
